rapida,lenta,modo,razao,stop_pct,alvo_pct,stop_pts,alvo_pts,n_tr,sharpe_tr,ret_tr,acerto_tr,n_ho,sharpe_ho,ret_ho,acerto_ho
10,200,0,2.0,0.06,0.12,3346.8950186304155,6693.790037260831,218,-0.0570050001670921,-1.0468000000000006,0.3211009174311927,53,-0.0990161727846172,-0.4378000000000001,0.3018867924528302
10,200,0,3.0,0.06,0.18,3346.8950186304155,10040.685055891247,145,0.018276254733379946,0.28300000000000036,0.2689655172413793,36,-0.3476813881562413,-1.0536,0.1388888888888889
10,200,1,0.75,0.008,0.006,446.2526691507221,334.6895018630416,5053,-0.3568879509986226,-12.457799999999999,0.5810409657629131,1877,-0.36965327124790937,-4.8042,0.5743207245604688
10,200,1,1.0,0.008,0.008,446.2526691507221,446.2526691507221,4541,-0.3036749211247078,-11.0306,0.5106804668575203,1640,-0.32856051941340436,-4.311999999999999,0.49817073170731707
10,200,1,1.3333333333333333,0.008,0.010666666666666666,446.2526691507221,595.0035588676294,4042,-0.2805319198073429,-10.4772,0.4289955467590302,1438,-0.2905722423945215,-3.856133333333333,0.4242002781641168
10,200,1,2.0,0.008,0.016,446.2526691507221,892.5053383014442,3468,-0.21924417647625172,-8.6328,0.33794694348327564,1191,-0.24326956187323173,-3.2645999999999997,0.327455919395466
10,200,1,3.0,0.008,0.024,446.2526691507221,1338.7580074521663,2941,-0.18782450463114933,-7.654599999999997,0.249914994899694,947,-0.17348008821648198,-2.294199999999999,0.2555438225976769
10,200,1,0.75,0.015,0.01125,836.7237546576039,627.5428159932029,2891,-0.19060811955302023,-7.149099999999999,0.576271186440678,1001,-0.1922077224037881,-2.4975999999999994,0.5754245754245755
10,200,1,1.0,0.015,0.015,836.7237546576039,836.7237546576039,2527,-0.14841935072650234,-5.625199999999998,0.5124653739612188,856,-0.154578395340537,-1.9855999999999994,0.5093457943925234
10,200,1,1.3333333333333333,0.015,0.019999999999999997,836.7237546576039,1115.6316728768052,2182,-0.1257382329977275,-4.768199999999998,0.4404216315307058,716,-0.14383989280092996,-1.7865999999999995,0.43156424581005587
10,200,1,2.0,0.015,0.03,836.7237546576039,1673.4475093152078,1719,-0.08322725981143426,-3.074399999999998,0.35136707388016286,553,-0.15214126864978675,-1.7677999999999994,0.32007233273056057
10,200,1,3.0,0.015,0.045,836.7237546576039,2510.1712639728116,1320,-0.08173817455108905,-2.831999999999999,0.25757575757575757,414,-0.07957579239762838,-0.8663999999999998,0.2584541062801932
10,200,1,0.75,0.025,0.018750000000000003,1394.5395910960067,1045.904693322005,1707,-0.12403956487048402,-4.588199999999995,0.5694200351493849,535,-0.14852609366938102,-1.7284999999999986,0.5570093457943925
